,Unnamed: 0,Company,Experience,JobTitle,salary_avg,Salary,Summary,monthly,,salary_max,salary_min,City,State,Lightning,LWC,Triggers,Test_Classes,JavaScript,Testing,Client,Configuration,Business,lightning,apex,development,Business_Interaction,Functional,Lead_team
0,0,Spadeworx software Services,5,Salesforce Developer,1147200,"₹50,000 - ₹90,000 a month","Basic knowledge of salesforce development (Apex, Triggers, Lightning) is a must. As a Salesforce Admin, you will be part of a team responsible for supporting…",1,,1544400,750000,Pune, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,221 B Baker ST,5,Salesforce Administrator,630000,"₹30,000 - ₹60,000 a month","Develop customized solutions within the Salesforce platform to support critical business functions and meet project objectives, client requirements, and company…",1,,900000,360000,Kolkata, West Bengal,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
2,2,Appletech,5,Salesforce Administrator,600000,"₹25,000 - ₹60,000 a month","3+ years of Salesforce application experience. Experience in Sales Cloud Lightning - Enterprise Edition a big plus. Salary: ₹25,000.00 - ₹60,000.00 per month.",1,,900000,300000,Ahmedabad, Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,GeniusU Web Services pvt ltd,5,Salesforce Developer,1287000,"₹75,000 a month","Work alongside the Salesforce administrator to ensure database cleanliness, object syncing, bidirectional sync with CRM using Marketing Cloud Connect, and…",1,,1287000,1287000,Mumbai, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Cloudy Wave Technology Pvt Ltd,5,Salesforce Developer,537500,"₹2,00,000 - ₹7,00,000 a year",We are looking for strong Salesforce experienced administrator/developer with excellent skills Qualifications: . Integration skills using REST & SOAP APIs.,0,,875000,200000,Pune, Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,C2N IT Services Pvt Ltd,5,Salesforce Developer,750000,"₹6,00,000 a year","Experience utilizing development frameworks and libraries, such as the Lightning Component Framework, Salesforce Lightning Design System, and jquery.",0,,750000,750000,Hyderabad, Telangana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,8,Keras Global,8,Salesforce Developer,1587300,"₹90,000 - ₹95,000 a month","Location : Remote working or also in nearshore location . Start : immediately /2-4 weeks. Minimum 4+ *Salesforce Development experience , with Salesforce…",1,,1630200,1544400,Hyderabad, Telangana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,9,Webkul Software,2,Salesforce Business Analyst,320000,"₹3,20,000 a year",Usually maps requirement of business to salesforce features of the product. We are looking for an ideal candidate with exceptional interfacing skills with…,0,,320000,320000,Noida, Uttar Pradesh,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10,10,GeniusU Web Services pvt ltd,5,Salesforce Business Analyst,585000,"₹35,000 - ₹50,000 a month","Work alongside the Salesforce administrator to ensure database cleanliness, object syncing, bidirectional sync with CRM using Marketing Cloud Connect, and…",1,,750000,420000,Mumbai, Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,Workafella,5,Salesforce Administrator,575000,"₹4,00,000 - ₹6,00,000 a year",Serve as primary system administrator for the Salesforce environment. Handle all basic administrative functions including creation and implementation of reports…,0,,750000,400000,Chennai, Chennai,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12,12,ANI Calls India Private Limited,8,Salesforce Developer,1644500,"₹9,00,000 - ₹14,00,000 a year",Ten years of overall IT experience. 2 to 3 years' Experience as a Salesforce Technical Lead or Senior Developer in a fast-paced environment.,0,,2002000,1287000,Mumbai, Maharashtra,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13,13,ICS Consultancy Services,8,Salesforce Developer,2502500,"₹10,00,000 - ₹25,00,000 a year","Must have Skills : Salesforce Good to Have Skills : No Technology Specialty Job Requirements : 1 Reponsibilities: a Experienced in development of salesforce,…",0,,3575000,1430000,Mumbai, Maharashtra,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
14,14,ICS Consultancy Services,8,Salesforce Developer,2502500,"₹10,00,000 - ₹25,00,000 a year","Must have Skills : Salesforce Good to Have Skills : No Technology Specialty Job Requirements : 1 Reponsibilities: a Experienced in development of salesforce,…",0,,3575000,1430000,Mumbai, Maharashtra,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
15,15,Search Bridge Consulting,8,Salesforce Developer,1573000,"₹10,00,000 - ₹12,00,000 a year",Certified Pardot & Salesforce Developer and administrator. Design and develop new landing pages in Pardot and integrate prospect generation with Salesforce and…,0,,1716000,1430000,Delhi, Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,ICS Consultancy Services,8,Salesforce Administrator,2502500,"₹10,00,000 - ₹25,00,000 a year","Must have Skills : Salesforce Good to Have Skills : No Technology Specialty Job Requirements : 1 Reponsibilities: a Experienced in development of salesforce,…",0,,3575000,1430000,Mumbai, Maharashtra,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
17,17,Titan Consultancy,10,Salesforce Technical Architect,3432000,"₹18,00,000 - ₹30,00,000 a year","This Client is experiencing tremendous growth and is looking to add a sharp Salesforce Architect to the team. In this role, you will make an immediate impact by…",0,,4290000,2574000,Bengaluru, Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,ICS Consultancy Services,8,Salesforce Developer,2502500,"₹10,00,000 - ₹25,00,000 a year","Must have Skills : Salesforce Good to Have Skills : No Technology Specialty Job Requirements : 1 Reponsibilities: a Experienced in development of salesforce,…",0,,3575000,1430000,Mumbai, Maharashtra,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
20,20,ANI Calls India Private Limited,8,Salesforce Developer,1644500,"₹9,00,000 - ₹14,00,000 a year",Ten years of overall IT experience. 2 to 3 years' Experience as a Salesforce Technical Lead or Senior Developer in a fast-paced environment.,0,,2002000,1287000,Noida, Uttar Pradesh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
